Time,,ALL-NODES,NCA,NCD,Created,Received,DATA,DATA,DATA,DATA,DATA,Created_PRI_1,Received_PRI_1,DATA_PRI_1,DATA_PRI_1,DATA_PRI_1,DATA_PRI_1,DATA_PRI_1,Created_PRI_2,Received_PRI_2,DATA_PRI_2,DATA_PRI_2,DATA_PRI_2,DATA_PRI_2,DATA_PRI_2
1.0,1.0,98.73,200,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
1.1,1.0,98.63,200,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
1.2,1.0,98.61,200,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
1.3,1.1,98.59,200,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
1.4,1.1,98.57,200,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
1.5,1.1,98.55,200,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
1.6,1.1,98.48,200,0,4620.0,0.0,183,183,100,18068,1921,4620.0,4620.0,183,183,100,18068,1921,0.0,0.0,0,0,0,0,0
1.7,1.1,98.46,200,0,4620.0,0.0,183,183,100,18068,1921,4620.0,4620.0,183,183,100,18068,1921,0.0,0.0,0,0,0,0,0
1.8,1.1,98.44,200,0,4620.0,0.0,183,183,100,18068,1921,4620.0,4620.0,183,183,100,18068,1921,0.0,0.0,0,0,0,0,0
1.9,1.2,98.42,200,0,4620.0,0.0,183,183,100,18068,1921,4620.0,4620.0,183,183,100,18068,1921,0.0,0.0,0,0,0,0,0
1.10,1.2,98.4,200,0,7810.0,0.0,296,231,79,18068,1637,7810.0,4620.0,296,231,79,18068,1637,0.0,0.0,0,0,0,0,0
1.11,1.2,98.31,200,0,11795.0,0.0,442,442,100,18068,1597,9095.0,9095.0,370,370,100,18068,1730,2700.0,2700.0,72,72,100,3228,916
1.12,1.2,98.29,200,0,11795.0,0.0,442,442,100,18068,1597,9095.0,9095.0,370,370,100,18068,1730,2700.0,2700.0,72,72,100,3228,916
1.13,1.2,98.27,200,0,11795.0,0.0,442,442,100,18068,1597,9095.0,9095.0,370,370,100,18068,1730,2700.0,2700.0,72,72,100,3228,916
1.14,1.2,98.22,200,0,11795.0,0.0,442,442,100,18068,1597,9095.0,9095.0,370,370,100,18068,1730,2700.0,2700.0,72,72,100,3228,916
1.15,1.3,98.16,200,0,16098.0,0.0,637,632,100,18068,1546,13398.0,12719.0,565,560,100,18068,1627,2700.0,2700.0,72,72,100,3228,916
1.16,1.3,98.12,200,0,16127.0,0.0,643,643,100,26553,1606,13427.0,13427.0,571,571,100,26553,1693,2700.0,2700.0,72,72,100,3228,916
1.17,1.3,98.1,200,0,16127.0,0.0,643,643,100,26553,1606,13427.0,13427.0,571,571,100,26553,1693,2700.0,2700.0,72,72,100,3228,916
1.18,1.3,98.08,200,0,16127.0,0.0,643,643,100,26553,1606,13427.0,13427.0,571,571,100,26553,1693,2700.0,2700.0,72,72,100,3228,916
1.19,1.3,98.06,200,0,16127.0,0.0,643,643,100,26553,1606,13427.0,13427.0,571,571,100,26553,1693,2700.0,2700.0,72,72,100,3228,916
1.20,1.3,97.98,200,0,22083.0,0.0,887,874,99,26553,1615,17613.0,17613.0,784,784,100,26553,1702,4470.0,2700.0,103,90,88,3228,857
1.21,1.4,97.95,200,0,22970.0,0.0,928,928,100,26553,1565,17613.0,17613.0,784,784,100,26553,1702,5357.0,5357.0,144,144,100,3228,822
1.22,1.4,97.93,200,0,22970.0,0.0,928,928,100,26553,1565,17613.0,17613.0,784,784,100,26553,1702,5357.0,5357.0,144,144,100,3228,822
1.23,1.4,97.91,200,0,22970.0,0.0,928,928,100,26553,1565,17613.0,17613.0,784,784,100,26553,1702,5357.0,5357.0,144,144,100,3228,822
1.24,1.4,97.84,200,0,26606.0,0.0,1119,1115,100,26553,1544,21249.0,21115.0,975,971,100,26553,1652,5357.0,5357.0,144,144,100,3228,822
1.25,1.4,97.8,200,0,27015.0,0.0,1149,1148,100,26553,1534,21658.0,21632.0,1005,1004,100,26553,1637,5357.0,5357.0,144,144,100,3228,822
1.26,1.4,97.78,200,0,27015.0,0.0,1149,1148,100,26553,1534,21658.0,21632.0,1005,1004,100,26553,1637,5357.0,5357.0,144,144,100,3228,822
1.27,1.5,97.76,200,0,27015.0,0.0,1149,1148,100,26553,1534,21658.0,21632.0,1005,1004,100,26553,1637,5357.0,5357.0,144,144,100,3228,822
1.28,1.5,97.71,200,0,30180.0,0.0,1310,1304,100,26553,1484,24823.0,24364.0,1166,1160,100,26553,1567,5357.0,5357.0,144,144,100,3228,822
1.29,1.5,97.67,200,0,30916.0,0.0,1367,1363,100,26553,1447,25559.0,25282.0,1223,1219,100,26553,1521,5357.0,5357.0,144,144,100,3228,822
